feature,importance_gain
volatility_1h,7917.880776822567
rsi_14_15m,6361.882081568241
rsi_14_1h,5314.265336066484
volatility_15m,5079.554499864578
sma_1h,3602.2015090584755
macd,3006.4891788959503
bb_width,2527.316401362419
sma_15min,2247.3878462314606
macd_signal,1805.686811208725
bid_price_1,1612.5665230154991
sma_5,1528.5098628997803
sma_10,1262.078605413437
ask_price_2,996.364016532898
momentum_10,786.4766721725464
volatility_10,746.1624791622162
ask_price_4,595.5320580005646
rsi_14,501.96899127960205
macd_hist,481.0964004993439
mid_price,480.775185585022
close_lag1,443.9191663861275
ask_price_1,423.6212954521179
bid_price_10,389.07588052749634
bid_price_2,365.1225418150425
bid_vol_1,354.6247067153454
bid_price_4,268.5350296497345
ask_price_6,223.17383366823196
pct_change_1,186.11454105377197
bid_vol_4,176.39891982078552
bid_price_8,142.85211086273193
bid_price_3,124.41982936859131
ask_vol_2,106.154392182827
bid_vol_6,103.64386022090912
ask_vol_4,95.87315082550049
bid_price_6,91.56090998649597
bid_vol_10,88.16702055931091
ask_vol_1,87.68162965774536
ask_price_3,78.86107921600342
ask_price_8,75.48783898353577
ask_vol_10,58.72087097167969
bid_vol_2,56.37029981613159
bid_vol_3,55.11369824409485
bid_price_5,51.19009780883789
ask_vol_8,46.477760314941406
rsi_overbought,29.165780067443848
ask_price_10,25.577550411224365
bid_vol_8,22.86860966682434
ob_imbalance,22.38152003288269
ask_vol_6,22.239783452823758
ask_vol_3,9.599579811096191
ask_price_5,8.129899978637695
rsi_oversold,6.498879909515381
bid_vol_5,0.0
bid_price_9,0.0
bid_vol_9,0.0
bid_vol_7,0.0
bid_price_7,0.0
ask_vol_5,0.0
ask_price_7,0.0
ask_vol_7,0.0
ask_price_9,0.0
ask_vol_9,0.0
spread,0.0
